person_id,count,name
17495,2,Ryan Murphy
101325,2,Neeraj Pandey
605189,2,Berkun Oya
64438,2,Anubhav Sinha
67349,2,Shashank Khaitan
50144,2,Hany Abu-Assad
192618,2,Vinil Mathew
184740,2,Hasan Karacadag
308796,2,Eduardo Chauvet
34170,2,Michael Tiddes
74397,2,Oriol Paulo
157312,2,Ravi Babu
64183,2,Jeff Orlowski
879305,2,Madeleine Parry
318760,2,Alison Klayman
104517,2,Sudhir Mishra
248792,2,Adam Randall
274463,2,Sara Colangelo
421830,2,Aitor Arregi
66691,2,Jon Garaño
29739,2,Robert Vince
67122,2,Omoni Oboli
923454,2,Patrick Graham
1967273,2,Femi D. Ogunsanwo
1539289,2,Todd Kauffman
1669829,2,Adriano Rudiman
301457,2,Chung Mong-Hong
165470,2,Jeethu Joseph
1077217,2,Malik Nejer
2390155,2,Taketoshi Sado
38260,2,Zak Hilditch
290206,2,Daniel Sandu
670691,2,Choi Jin-sung
21954,2,Paco Plaza
169510,2,Ernesto Contreras
148411,2,Yoshiyuki Momose
951125,2,Venkatesh Maha
954038,2,Nikhil Nagesh Bhat
184703,2,Syamsul Yusof
727906,2,Mag Hsu
56693,2,Ross Kauffman
195083,2,Selçuk Aydemir
158267,2,Remo D'Souza
1299567,2,Chih-yen Hsu
33087,2,Ernie Barbarash
37064,2,Dany Boon
325532,2,Marek Losey
243787,2,Ashwiny Iyer Tiwari
23633,2,David M. Rosenthal
214440,2,Sydney Freeland
46756,2,Brandon Camp
135271,2,Susan Johnson
30728,2,Dani de la Torre
166267,2,Neeraj Ghaywan
269874,2,Damien O'Connor
67115,2,John Schultz
13240,2,Werner Herzog
146119,2,Sekhar Kammula
200136,2,Chun Chieh Liu
118152,2,Michelle Bello
96505,2,Dee Rees
246121,2,Scott Moran
1387310,2,José Gómez
787878,2,Mehdi Idir
1092831,2,Jayan Moodley
1817351,2,Choi Do-hoon
159610,2,Yuki Tanada
58431,2,Phil Joanou
10216,2,Anand Tiwari
86174,2,Scott Aukerman
60636,2,Noriyuki Abe
2783,2,Joel Coen
2781,2,Ethan Coen
201444,2,Esteban Crespo
